Entry Number ,Region ,Seeker,Supplier,Paltform Model,Platform  Type,Year of Interest ,Year of Order,Year of First Delivery,"Year of  Identification, Completion, or Cancellation",Status,Source 1,Source 2,Source 3,Comments
1,North America,United States,Israel,Hunter,UAV,,1992.0,1993.0,1996.0,Yes,SIPRI,,,"SIPRI Comments: ""Deal incl. 7 ground-control systems; ordered via U.S. company; possibly assembled in the United States; U.S. designation RQ-5A"""
2,Indo-Pacific,Singapore,Israel,Searcher Mk II,UAV,,1993.0,1994.0,1995.0,Yes,SIPRI,,,
3,Europe,France,Israel,Hunter,UAV,,1995.0,1997.0,1997.0,Yes,SIPRI,,,"SIPRI Comments: ""$50m deal"""
4,Europe,Netherlands,France,Sperwer,UAV,,1995.0,2000.0,2001.0,Yes,SIPRI,,,"SIPRI Comments: ""$82m deal; retired in 2011"""
5,Indo-Pacific,Sri Lanka,Israel,Scout,UAV,,1995.0,1998.0,1998.0,Yes,SIPRI,,,"SIPRI Comments: ""Secondhand but modernized before delivery; for use against LTTE rebels; $4.3m deal; Super Scout version"""
6,Europe,Turkey,United States,Gnat-750,UAV,,1995.0,1995.0,1996.0,Yes,SIPRI,,,"SIPRI Comments: ""I-Gnat version"""
7,Central,United Arab Emirates,South Africa,Seeker 2,UAV,,1995.0,1996.0,1996.0,Yes,SIPRI,,,"SIPRI Comments: ""Probably Seeker-2 version"""
8,Africa,Algeria,South Africa,Seeker 2,UAV,,1996.0,1998.0,1999.0,Yes,SIPRI,DefenseWeb,,"From DefenseWeb: ""The Seeker II achieved a number of export sales, notably to Algeria and the UAE, who have used it successfully."" 
SIPRI Comments: ""10 drones, $20m deal"" "
9,Indo-Pacific,India,Israel,Searcher 1,UAV,,1996.0,1998.0,2000.0,Yes,SIPRI,,,
10,Europe,Switzerland,Israel,Ranger,UAV,,1996.0,1998.0,2001.0,Yes,SIPRI,Air Force Technology,,"SIPRI Comments: ""For 4 ADS-84 UAV reconnaissance systems; incl. production in Switzerland"" "
11,Indo-Pacific,India,Israel,Harpy,Loitering Munition,,1997.0,1999.0,2000.0,Yes,SIPRI,,,
